name	addr	size	section	bind	type	parent
_IO_stdin_used	002dbca0	00000004	.rodata	g	O	
_ZL6cplens	002dee4c	0000007c	.rodata	l	O	
_ZL6cplext	002deec8	0000007c	.rodata	l	O	
_ZL6cpdist	002def44	00000078	.rodata	l	O	
_ZL6cpdext	002defbc	00000078	.rodata	l	O	
_ZL8fixed_tl	002df034	00001000	.rodata	l	O	
_ZL8fixed_td	002e0034	00000100	.rodata	l	O	
_ZL12inflate_mask	002e0134	00000044	.rodata	l	O	
_ZL6border	002e0178	0000004c	.rodata	l	O	
_ZL9crc_table	002e01c4	00000400	.rodata	l	O	
mui_Rect	002e05c4	000000b0	.rodata	l	O	
m_Typetab	002e0674	000000b4	.rodata	l	O	
GBAKeyMapping	002e0728	00000060	.rodata	l	O	
NESKeyMapping	002e0788	00000060	.rodata	l	O	
SNESKeyMapping	002e07e8	00000060	.rodata	l	O	
GENSKeyMapping	002e07e8	00000060	.rodata	l	O	
DEFKeyMapping	002e07e8	00000060	.rodata	l	O	
FBA_index	002e0888	00000018	.rodata	g	O	
SNES_index	002e08a0	00000018	.rodata	g	O	
MD_index	002e08b8	00000018	.rodata	g	O	
STD_index	002e08d0	00000018	.rodata	g	O	
joy_key_mask	002e08e8	00000040	.rodata	g	O	
asc2_1608	002e0928	000005f0	.rodata	g	O	
xmp3_sfBandTable	002e0f18	0000029a	.rodata	g	O	
xmp3_slotTab	002e11b4	0000010e	.rodata	g	O	
xmp3_sideBytesTab	002e12c4	0000000c	.rodata	g	O	
xmp3_bitsPerSlotTab	002e12d0	00000006	.rodata	g	O	
xmp3_samplesPerFrameTab	002e12d8	00000012	.rodata	g	O	
xmp3_bitrateTab	002e12ec	0000010e	.rodata	g	O	
xmp3_samplerateTab	002e13fc	00000024	.rodata	g	O	
SFLenTab	002e1420	00000020	.rodata	l	O	
NRTab	002e1440	00000048	.rodata	l	O	
xmp3_polyCoef	002e1488	00000420	.rodata	g	O	
xmp3_coef32	002e18a8	0000007c	.rodata	g	O	
xmp3_csa	002e1924	00000040	.rodata	g	O	
xmp3_uniqueIDTab	002e1964	00000008	.rodata	g	O	
xmp3_ISFIIP	002e196c	00000010	.rodata	g	O	
xmp3_ISFMpeg2	002e197c	00000100	.rodata	g	O	
xmp3_ISFMpeg1	002e1a7c	00000038	.rodata	g	O	
xmp3_imdctWin	002e1ab4	00000240	.rodata	g	O	
c18	002e1cf4	00000024	.rodata	l	O	
fastWin36	002e1d18	00000048	.rodata	l	O	
xmp3_quadTabMaxBits	002e1d60	00000008	.rodata	g	O	
xmp3_quadTabOffset	002e1d68	00000008	.rodata	g	O	
xmp3_quadTable	002e1d70	00000050	.rodata	g	O	
xmp3_huffTabLookup	002e1dc0	00000100	.rodata	g	O	
xmp3_huffTabOffset	002e1ec0	00000080	.rodata	g	O	
xmp3_huffTable	002e1f40	00002124	.rodata	g	O	
pow43_14	002e4064	00000100	.rodata	l	O	
