kind	name	vaddr	filesz	memsz	flags	offset	align
PH	PHDR	00008034	00000140	00000140	4	00000034	00000004
PH	INTERP	00008174	00000019	00000019	4	00000174	00000001
PH	LOAD	00008000	003a51ec	003a51ec	5	00000000	00001000
PH	LOAD	003ae5c4	00003bb0	0003350f	6	003a55c4	00001000
PH	DYNAMIC	003aeee8	00000118	00000118	6	003a5ee8	00000004
PH	NOTE	00008190	00000020	00000020	4	00000190	00000004
PH	GNU_EH_FRAME	003ad1e4	00000008	00000008	4	003a51e4	00000004
PH	GNU_STACK	00000000	00000000	00000000	7	00000000	00000000
PH	ARM_EXIDX	003ad008	000001d8	000001d8	4	003a5008	00000004
PH	GNU_RELRO	003ae5c4	00000a3c	00000a3c	6	003a55c4	00000004
SH		00000000	00000000	00000000	0	00000000	00000000
SH	.interp	00008174	00000019	00000019	2	00000174	00000001
SH	.note.ABI-tag	00008190	00000020	00000020	2	00000190	00000004
SH	.dynsym	000081b0	00000720	00000720	2	000001b0	00000004
SH	.dynstr	000088d0	000004bc	000004bc	2	000008d0	00000001
SH	.hash	00008d8c	00000354	00000354	2	00000d8c	00000004
SH	.gnu.version	000090e0	000000e4	000000e4	2	000010e0	00000002
SH	.gnu.version_r	000091c4	000000d0	000000d0	2	000011c4	00000004
SH	.rel.dyn	00009294	00000020	00000020	2	00001294	00000004
SH	.rel.plt	000092b4	00000348	00000348	2	000012b4	00000004
SH	.init	000095fc	0000000c	0000000c	6	000015fc	00000004
SH	.plt	00009608	00000500	00000500	6	00001608	00000004
SH	.text	00009b10	002d2188	002d2188	6	00001b10	00000010
SH	.fini	002dbc98	00000008	00000008	6	002d3c98	00000004
SH	.rodata	002dbca0	000d135c	000d135c	2	002d3ca0	00000004
SH	.ARM.extab	003acffc	0000000c	0000000c	2	003a4ffc	00000004
SH	.ARM.exidx	003ad008	000001d8	000001d8	82	003a5008	00000004
SH	.eh_frame	003ad1e0	00000004	00000004	2	003a51e0	00000004
SH	.eh_frame_hdr	003ad1e4	00000008	00000008	2	003a51e4	00000004
SH	.data.rel.ro.local	003ae5c4	00000914	00000914	3	003a55c4	00000004
SH	.init_array	003aeed8	00000004	00000004	3	003a5ed8	00000004
SH	.fini_array	003aeedc	00000008	00000008	3	003a5edc	00000004
SH	.jcr	003aeee4	00000004	00000004	3	003a5ee4	00000004
SH	.dynamic	003aeee8	00000118	00000118	3	003a5ee8	00000004
SH	.data	003af000	00002cfc	00002cfc	3	003a6000	00000004
SH	.tm_clone_table	003b1cfc	00000000	00000000	3	003a8cfc	00000004
SH	.got	003b1cfc	00000478	00000478	3	003a8cfc	00000004
SH	.bss	003b2178	0002f95b	0002f95b	3	003a9178	00000008
SH	.comment	00000000	0000004c	0000004c	30	003a9174	00000001
SH	.debug_aranges	00000000	00000110	00000110	0	003a91c0	00000008
SH	.debug_info	00000000	00000654	00000654	0	003a92d0	00000001
SH	.debug_abbrev	00000000	000001ca	000001ca	0	003a9924	00000001
SH	.debug_line	00000000	00000404	00000404	0	003a9aee	00000001
SH	.debug_str	00000000	000003a8	000003a8	30	003a9ef2	00000001
SH	.debug_ranges	00000000	00000048	00000048	0	003aa2a0	00000008
SH	.debug_frame	00000000	000000ac	000000ac	0	003aa2e8	00000004
SH	.debug_loc	00000000	000000b3	000000b3	0	003aa394	00000001
SH	.note.gnu.gold-version	00000000	0000001c	0000001c	0	003aa448	00000004
SH	.ARM.attributes	00000000	00000037	00000037	0	003aa464	00000001
SH	.symtab	00000000	0000a370	0000a370	0	003aa49c	00000004
SH	.strtab	00000000	0000848c	0000848c	0	003b480c	00000001
SH	.shstrtab	00000000	000001ac	000001ac	0	003bcc98	00000001
