# 工厂 rkgame 程序头台账（由 tools/extract_factory_phdrs.py 生成，勿手改）
# 列：type	offset	vaddr	filesz	memsz	flags	align
# flags: 4=R / 2=W / 1=X
PHDR	0x00000034	0x00008034	320	320	0x4	0x4
INTERP	0x00000174	0x00008174	25	25	0x4	0x1
LOAD	0x00000000	0x00008000	3822060	3822060	0x5	0x1000
LOAD	0x003a55c4	0x003ae5c4	15280	210191	0x6	0x1000
DYNAMIC	0x003a5ee8	0x003aeee8	280	280	0x6	0x4
NOTE	0x00000190	0x00008190	32	32	0x4	0x4
GNU_EH_FRAME	0x003a51e4	0x003ad1e4	8	8	0x4	0x4
GNU_STACK	0x00000000	0x00000000	0	0	0x7	0x0
ARM_EXIDX	0x003a5008	0x003ad008	472	472	0x4	0x4
GNU_RELRO	0x003a55c4	0x003ae5c4	2620	2620	0x6	0x4
