addr,size,name,module,status,tier,src
0x0001f580,7228,mui_LoadConfig,mui,TODO,,src/proprietary/mui/FUN_0001f580_mui_LoadConfig.c
0x0002b2b4,7096,mui_setting,mui,TODO,,src/proprietary/mui/FUN_0002b2b4_mui_setting.c
0x00025094,5712,mui_search,mui,TODO,,src/proprietary/mui/FUN_00025094_mui_search.c
0x000277bc,4792,mui_recent,mui,TODO,,src/proprietary/mui/FUN_000277bc_mui_recent.c
0x0002a00c,4776,JoystickTest,input,TODO,,src/proprietary/input/FUN_0002a00c_JoystickTest.c
0x00023e10,4740,mui_type,mui,TODO,,src/proprietary/mui/FUN_00023e10_mui_type.c
0x0002d0d4,3948,mui_joystick_setting,mui,TODO,,src/proprietary/mui/FUN_0002d0d4_mui_joystick_setting.c
0x00028a74,3888,mui_shoucang,mui,TODO,,src/proprietary/mui/FUN_00028a74_mui_shoucang.c
0x00023204,3084,mui_menu,mui,TODO,,src/proprietary/mui/FUN_00023204_mui_menu.c
0x000171f8,2996,mui_LoadSetting,mui,TODO,,src/proprietary/mui/FUN_000171f8_mui_LoadSetting.c
0x0002f320,2852,mui_save_state,mui,TODO,,src/proprietary/mui/FUN_0002f320_mui_save_state.c
0x0002e040,2696,mui_video_setting,mui,TODO,,src/proprietary/mui/FUN_0002e040_mui_video_setting.c
0x0002eac8,2136,mui_load_state,mui,TODO,,src/proprietary/mui/FUN_0002eac8_mui_load_state.c
0x000229f8,2060,mui_run_game,mui,TODO,,src/proprietary/mui/FUN_000229f8_mui_run_game.c
0x00021c08,1836,SeletEmuCore,mui,TODO,,src/proprietary/mui/FUN_00021c08_SeletEmuCore.c
0x00019030,1724,mui_search_file_list,mui,TODO,,src/proprietary/mui/FUN_00019030_mui_search_file_list.c
0x0002ff8c,1636,PauseMenu,mui,TODO,,src/proprietary/mui/FUN_0002ff8c_PauseMenu.c
0x00017ef0,1388,shoucang,mui,TODO,,src/proprietary/mui/FUN_00017ef0_shoucang.c
0x000186a4,1380,mui_do_file_list,mui,TODO,,src/proprietary/mui/FUN_000186a4_mui_do_file_list.c
0x002b5c08,1380,Load_Proc2,core,TODO,,src/proprietary/core/FUN_002b5c08_Load_Proc2.c
0x00009f04,1332,GetConfig,config,TODO,,src/proprietary/config/FUN_00009f04_GetConfig.c
0x002b7510,1304,run_game,core,TODO,,src/proprietary/core/FUN_002b7510_run_game.c
0x0000c150,1196,ReadUSBJoy,input,TODO,,src/proprietary/input/FUN_0000c150_ReadUSBJoy.c
0x0000cd24,1184,RF_Joystick_timer_isr,input,TODO,,src/proprietary/input/FUN_0000cd24_RF_Joystick_timer_isr.c
0x00018c08,1064,mui_type_file_list,mui,TODO,,src/proprietary/mui/FUN_00018c08_mui_type_file_list.c
0x002b6f58,1060,Core_Load,core,TODO,,src/proprietary/core/FUN_002b6f58_Core_Load.c
0x0000ac44,976,UpdateROM,flash,TODO,,src/proprietary/flash/FUN_0000ac44_UpdateROM.c
0x00026d54,912,InitKeyMapping0fEmuType,hw,TODO,,src/proprietary/hw/FUN_00026d54_InitKeyMapping0fEmuType.c
0x0001bbf8,904,mui_outputxy_t,mui,TODO,,src/proprietary/mui/FUN_0001bbf8_mui_outputxy_t.c
0x002c39f0,904,sfc_request,flash,TODO,,src/proprietary/flash/FUN_002c39f0_sfc_request.c
0x002c4044,904,spi_driver_init,flash,TODO,,src/proprietary/flash/FUN_002c4044_spi_driver_init.c
0x0000a8a4,852,UpdateROMProc,flash,TODO,,src/proprietary/flash/FUN_0000a8a4_UpdateROMProc.c
0x000226a8,848,filelist_run_game,core,TODO,,src/proprietary/core/FUN_000226a8_filelist_run_game.c
0x002b6c14,836,FBA_Load,core,TODO,,src/proprietary/core/FUN_002b6c14_FBA_Load.c
0x00026860,772,AudioProcess,hw,TODO,,src/proprietary/hw/FUN_00026860_AudioProcess.c
0x0000b014,760,TestUSBJoy,input,TODO,,src/proprietary/input/FUN_0000b014_TestUSBJoy.c
0x00016f08,724,FilePreEmu,core,TODO,,src/proprietary/core/FUN_00016f08_FilePreEmu.c
0x0000d1c4,708,InitRFJoystick,hw,TODO,,src/proprietary/hw/FUN_0000d1c4_InitRFJoystick.c
0x00029d48,708,GetJoystickConfig,input,TODO,,src/proprietary/input/FUN_00029d48_GetJoystickConfig.c
0x0001c07c,692,mui_DisplayLine_t,mui,TODO,,src/proprietary/mui/FUN_0001c07c_mui_DisplayLine_t.c
0x0001ecac,684,mui_InitFont,mui,TODO,,src/proprietary/mui/FUN_0001ecac_mui_InitFont.c
0x0000d678,620,InitDisplay,hw,TODO,,src/proprietary/hw/FUN_0000d678_InitDisplay.c
0x0002142c,620,dir_serial_list,misc,TODO,,src/proprietary/misc/FUN_0002142c_dir_serial_list.c
0x0002ce6c,616,main_Menu,mui,TODO,,src/proprietary/mui/FUN_0002ce6c_main_Menu.c
0x002b7a68,612,NES_Load,core,TODO,,src/proprietary/core/FUN_002b7a68_NES_Load.c
0x002b7ccc,612,GBC_Load,core,TODO,,src/proprietary/core/FUN_002b7ccc_GBC_Load.c
0x002b7f30,612,VRT_Load,core,TODO,,src/proprietary/core/FUN_002b7f30_VRT_Load.c
0x00014f84,608,mui_DisplayThumbnail,mui,TODO,,src/proprietary/mui/FUN_00014f84_mui_DisplayThumbnail.c
0x0000b6b0,596,TestLibz0,core,TODO,,src/proprietary/core/FUN_0000b6b0_TestLibz0.c
0x002b616c,596,Snes_Load,core,TODO,,src/proprietary/core/FUN_002b616c_Snes_Load.c
0x002b63c0,596,TGB_Load,core,TODO,,src/proprietary/core/FUN_002b63c0_TGB_Load.c
0x002b6614,596,prosystem_Load,core,TODO,,src/proprietary/core/FUN_002b6614_prosystem_Load.c
0x002b6868,596,stella_Load,core,TODO,,src/proprietary/core/FUN_002b6868_stella_Load.c
0x002b8194,596,Pico_Load,core,TODO,,src/proprietary/core/FUN_002b8194_Pico_Load.c
0x0001845c,584,IsShoucang,mui,TODO,,src/proprietary/mui/FUN_0001845c_IsShoucang.c
0x000151e4,576,buttontoi,input,TODO,,src/proprietary/input/FUN_000151e4_buttontoi.c
0x00027398,556,popwindows,mui,TODO,,src/proprietary/mui/FUN_00027398_popwindows.c
0x002b53a8,552,DrawFrame,hw,TODO,,src/proprietary/hw/FUN_002b53a8_DrawFrame.c
0x002b4f98,528,environment,core,TODO,,src/proprietary/core/FUN_002b4f98_environment.c
0x0000b4b0,512,TestRun,core,TODO,,src/proprietary/core/FUN_0000b4b0_TestRun.c
0x002b51a8,512,UIDebug,misc,TODO,,src/proprietary/misc/FUN_002b51a8_UIDebug.c
0x000275c4,504,popoffwindows,mui,TODO,,src/proprietary/mui/FUN_000275c4_popoffwindows.c
0x00009b58,492,main,main,TODO,,src/proprietary/main/FUN_00009b58_main.c
0x0000a530,448,outputxy1,misc,TODO,,src/proprietary/misc/FUN_0000a530_outputxy1.c
0x0000ba1c,448,sunxi_gpio_init,flash,TODO,,src/proprietary/flash/FUN_0000ba1c_sunxi_gpio_init.c
0x002b5a4c,444,Load_Proc1,core,TODO,,src/proprietary/core/FUN_002b5a4c_Load_Proc1.c
0x000270e4,420,SaveKeyMappingConfigFile,config,TODO,,src/proprietary/config/FUN_000270e4_SaveKeyMappingConfigFile.c
0x00029b44,416,progress,misc,TODO,,src/proprietary/misc/FUN_00029b44_progress.c
0x002b737c,404,Gpsp_Load,core,TODO,,src/proprietary/core/FUN_002b737c_Gpsp_Load.c
0x000211f8,400,LoadMenuLog,misc,TODO,,src/proprietary/misc/FUN_000211f8_LoadMenuLog.c
0x00022520,392,SoundPlay,hw,TODO,,src/proprietary/hw/FUN_00022520_SoundPlay.c
0x002b83e8,392,retro_save_state,core,TODO,,src/proprietary/core/FUN_002b83e8_retro_save_state.c
0x0000c658,384,ReadPS2JS,misc,TODO,,src/proprietary/misc/FUN_0000c658_ReadPS2JS.c
0x002b8570,384,retro_load_state,core,TODO,,src/proprietary/core/FUN_002b8570_retro_load_state.c
0x0001b240,380,mui_outputxy_length.isra.19,mui,TODO,,src/proprietary/mui/FUN_0001b240_mui_outputxy_length.isra.19.c
0x000266e4,380,Mp3DecodeLoop,misc,TODO,,src/proprietary/misc/FUN_000266e4_Mp3DecodeLoop.c
0x0001f39c,376,get_items_from_zipfile,misc,TODO,,src/proprietary/misc/FUN_0001f39c_get_items_from_zipfile.c
0x0000d8e4,360,dispFlip,hw,TODO,,src/proprietary/hw/FUN_0000d8e4_dispFlip.c
0x0000fff4,348,ucrc32,misc,TODO,,src/proprietary/misc/FUN_0000fff4_ucrc32.c
0x002b6abc,344,PCSX_Load,core,TODO,,src/proprietary/core/FUN_002b6abc_PCSX_Load.c
0x002b576c,340,init_user_joy_key_mask,misc,TODO,,src/proprietary/misc/FUN_002b576c_init_user_joy_key_mask.c
0x0001972c,328,mui_DisplayThumbnailThread,mui,TODO,,src/proprietary/mui/FUN_0001972c_mui_DisplayThumbnailThread.c
0x0002fe44,328,mui_game_exit,mui,TODO,,src/proprietary/mui/FUN_0002fe44_mui_game_exit.c
0x00017dac,324,mui_LoadUIResource,mui,TODO,,src/proprietary/mui/FUN_00017dac_mui_LoadUIResource.c
0x0000b904,280,TestLibz1,misc,TODO,,src/proprietary/misc/FUN_0000b904_TestLibz1.c
0x00029a2c,280,draw_state_select,misc,TODO,,src/proprietary/misc/FUN_00029a2c_draw_state_select.c
0x0000d518,272,ScaleDisplayThread,misc,TODO,,src/proprietary/misc/FUN_0000d518_ScaleDisplayThread.c
0x00027288,272,blockadaptive,misc,TODO,,src/proprietary/misc/FUN_00027288_blockadaptive.c
0x00021774,264,DisplayLine_list,misc,TODO,,src/proprietary/misc/FUN_00021774_DisplayLine_list.c
0x0000bf9c,260,get_from_line,misc,TODO,,src/proprietary/misc/FUN_0000bf9c_get_from_line.c
0x0000bbdc,256,sunxi_gpio_set_cfgpin,flash,TODO,,src/proprietary/flash/FUN_0000bbdc_sunxi_gpio_set_cfgpin.c
0x0000bd4c,256,sunxi_gpio_output,flash,TODO,,src/proprietary/flash/FUN_0000bd4c_sunxi_gpio_output.c
0x0002187c,256,DisplayPage_list,misc,TODO,,src/proprietary/misc/FUN_0002187c_DisplayPage_list.c
0x0001bf80,252,mui_DisplayGameSum,mui,TODO,,src/proprietary/mui/FUN_0001bf80_mui_DisplayGameSum.c
0x00021aa4,252,EmuCore_Line,core,TODO,,src/proprietary/core/FUN_00021aa4_EmuCore_Line.c
0x002b58c0,252,TurboKeyProcess,misc,TODO,,src/proprietary/misc/FUN_002b58c0_TurboKeyProcess.c
0x00026b64,248,mui_SoundplayThread,mui,TODO,,src/proprietary/mui/FUN_00026b64_mui_SoundplayThread.c
0x0000b30c,244,ConvertCode,misc,TODO,,src/proprietary/misc/FUN_0000b30c_ConvertCode.c
0x002b4e20,244,gpsp_unzip,misc,TODO,,src/proprietary/misc/FUN_002b4e20_gpsp_unzip.c
0x0001c330,236,mui_DisplayInputBuffer,mui,TODO,,src/proprietary/mui/FUN_0001c330_mui_DisplayInputBuffer.c
0x0000c8f0,228,ReadJoystick,input,TODO,,src/proprietary/input/FUN_0000c8f0_ReadJoystick.c
0x0000bebc,224,sunxi_gpio_cleanup,flash,TODO,,src/proprietary/flash/FUN_0000bebc_sunxi_gpio_cleanup.c
0x0001f21c,224,get_item_from_line,misc,TODO,,src/proprietary/misc/FUN_0001f21c_get_item_from_line.c
0x00021698,220,outputblankxy,misc,TODO,,src/proprietary/misc/FUN_00021698_outputblankxy.c
0x0000db08,196,InitSound,hw,TODO,,src/proprietary/hw/FUN_0000db08_InitSound.c
0x00022334,188,GetFileCore,misc,TODO,,src/proprietary/misc/FUN_00022334_GetFileCore.c
0x002b4d64,188,PlayFrame,hw,TODO,,src/proprietary/hw/FUN_002b4d64_PlayFrame.c
0x002c5c75,188,utf7_reset,misc,TODO,,
0x0000c0a0,176,GetInputInfo,misc,TODO,,src/proprietary/misc/FUN_0000c0a0_GetInputInfo.c
0x0002197c,176,myStrrstr,misc,TODO,,src/proprietary/misc/FUN_0002197c_myStrrstr.c
0x00014340,168,DrawSelectBar,misc,TODO,,src/proprietary/misc/FUN_00014340_DrawSelectBar.c
0x0001f2fc,160,get_items_from_file,misc,TODO,,src/proprietary/misc/FUN_0001f2fc_get_items_from_file.c
0x00022480,160,ui_deinit,misc,TODO,,src/proprietary/misc/FUN_00022480_ui_deinit.c
0x002c43f8,160,sfc_init,flash,TODO,,src/proprietary/flash/FUN_002c43f8_sfc_init.c
0x00019874,156,mui_WaitNMI,mui,TODO,,src/proprietary/mui/FUN_00019874_mui_WaitNMI.c
0x0000a774,152,ShareMemCreat,flash,TODO,,src/proprietary/flash/FUN_0000a774_ShareMemCreat.c
0x00014470,152,UnDrawSelectBar,misc,TODO,,src/proprietary/misc/FUN_00014470_UnDrawSelectBar.c
0x000164b8,152,code_convert.constprop.22,misc,TODO,,src/proprietary/misc/FUN_000164b8_code_convert.constprop.22.c
0x0000a49c,148,dispmeninfo,hw,TODO,,src/proprietary/hw/FUN_0000a49c_dispmeninfo.c
0x00021388,148,SaveMenuLog,misc,TODO,,src/proprietary/misc/FUN_00021388_SaveMenuLog.c
0x002b5624,148,GetCoreIndex,misc,TODO,,src/proprietary/misc/FUN_002b5624_GetCoreIndex.c
0x000130c4,140,CloseZipU,misc,TODO,,src/proprietary/misc/FUN_000130c4_CloseZipU.c
0x002b59bc,140,run_process,misc,TODO,,src/proprietary/misc/FUN_002b59bc_run_process.c
0x0000cb0c,136,SPI_Read_BUF,flash,TODO,,src/proprietary/flash/FUN_0000cb0c_SPI_Read_BUF.c
0x00012cd0,136,OpenZipU,misc,TODO,,src/proprietary/misc/FUN_00012cd0_OpenZipU.c
0x000143e8,136,mui_blockcopy,mui,TODO,,src/proprietary/mui/FUN_000143e8_mui_blockcopy.c
0x000299a4,136,blockcopy,misc,TODO,,src/proprietary/misc/FUN_000299a4_blockcopy.c
0x002c3d78,136,snor_wait_busy,flash,TODO,,src/proprietary/flash/FUN_002c3d78_snor_wait_busy.c
0x0000a6f0,132,spi_printf,flash,TODO,,src/proprietary/flash/FUN_0000a6f0_spi_printf.c
0x00012ebc,132,FindZipItemA,misc,TODO,,src/proprietary/misc/FUN_00012ebc_FindZipItemA.c
0x00013040,132,UnzipItem,misc,TODO,,src/proprietary/misc/FUN_00013040_UnzipItem.c
0x0000b430,128,WaitNMI,misc,TODO,,src/proprietary/misc/FUN_0000b430_WaitNMI.c
0x0000d488,128,InitJoystick,hw,TODO,,src/proprietary/hw/FUN_0000d488_InitJoystick.c
0x00014584,128,mui_UnDispBlock,mui,TODO,,src/proprietary/mui/FUN_00014584_mui_UnDispBlock.c
0x00014f04,128,mui_extract_basename,mui,TODO,,src/proprietary/mui/FUN_00014f04_mui_extract_basename.c
0x00014508,124,mui_DispBlock,mui,TODO,,src/proprietary/mui/FUN_00014508_mui_DispBlock.c
0x00022404,124,SoundClose,hw,TODO,,src/proprietary/hw/FUN_00022404_SoundClose.c
0x00026c5c,124,LoadDefaultState,misc,TODO,,src/proprietary/misc/FUN_00026c5c_LoadDefaultState.c
0x00026cd8,124,SaveDefaultState,misc,TODO,,src/proprietary/misc/FUN_00026cd8_SaveDefaultState.c
0x00014604,120,mui_Undisplay,mui,TODO,,src/proprietary/mui/FUN_00014604_mui_Undisplay.c
0x00021a2c,120,EmuCore_Blank,core,TODO,,src/proprietary/core/FUN_00021a2c_EmuCore_Blank.c
0x002db31d,118,compare_by_name,misc,TODO,,
0x0000c848,116,ReadJoystickThread,input,TODO,,src/proprietary/input/FUN_0000c848_ReadJoystickThread.c
0x0000bcdc,112,sunxi_gpio_get_cfgpin,flash,TODO,,src/proprietary/flash/FUN_0000bcdc_sunxi_gpio_get_cfgpin.c
0x0000be4c,112,sunxi_gpio_input,flash,TODO,,src/proprietary/flash/FUN_0000be4c_sunxi_gpio_input.c
0x0000cb94,112,SPI_Write_BUF,flash,TODO,,src/proprietary/flash/FUN_0000cb94_SPI_Write_BUF.c
0x00012d58,112,GetZipItemA,misc,TODO,,src/proprietary/misc/FUN_00012d58_GetZipItemA.c
0x00009e6c,108,RARCH_LOG_V,misc,TODO,,src/proprietary/misc/FUN_00009e6c_RARCH_LOG_V.c
0x0000c7d8,108,ReadJoystickProc,input,TODO,,src/proprietary/input/FUN_0000c7d8_ReadJoystickProc.c
0x0001f514,108,get_value_from_items,misc,TODO,,src/proprietary/misc/FUN_0001f514_get_value_from_items.c
0x0000c9e0,104,SPI_WW,flash,TODO,,src/proprietary/flash/FUN_0000c9e0_SPI_WW.c
0x0000caa4,104,SPI_Read,flash,TODO,,src/proprietary/flash/FUN_0000caa4_SPI_Read.c
0x0001f1a4,104,strtriml,misc,TODO,,src/proprietary/misc/FUN_0001f1a4_strtriml.c
0x00021ba0,104,EmuCore_list,core,TODO,,src/proprietary/core/FUN_00021ba0_EmuCore_list.c
0x0000a438,100,get_executable_path,misc,TODO,,src/proprietary/misc/FUN_0000a438_get_executable_path.c
0x002c3e98,100,erase_sector,misc,TODO,,src/proprietary/misc/FUN_002c3e98_erase_sector.c
0x002c3f9c,100,sflash_erase_security_data,flash,TODO,,src/proprietary/flash/FUN_002c3f9c_sflash_erase_security_data.c
0x00029ce8,96,InitScr,hw,TODO,,src/proprietary/hw/FUN_00029ce8_InitScr.c
0x002c3e38,96,spi_write,flash,TODO,,src/proprietary/flash/FUN_002c3e38_spi_write.c
0x002dbc34,96,__libc_csu_init,misc,TODO,,src/proprietary/misc/FUN_002dbc34___libc_csu_init.c
0x0000c5fc,92,InitMDJoystick,hw,TODO,,src/proprietary/hw/FUN_0000c5fc_InitMDJoystick.c
0x0000ca48,92,SPI_RR,flash,TODO,,src/proprietary/flash/FUN_0000ca48_SPI_RR.c
0x002b56b8,92,GetFilenameExt,misc,TODO,,src/proprietary/misc/FUN_002b56b8_GetFilenameExt.c
0x002c3f40,92,sflash_write_security_data,flash,TODO,,src/proprietary/flash/FUN_002c3f40_sflash_write_security_data.c
0x0000cca0,88,TxMode,misc,TODO,,src/proprietary/misc/FUN_0000cca0_TxMode.c
0x00014eac,88,mui_extract_basepath,mui,TODO,,src/proprietary/mui/FUN_00014eac_mui_extract_basepath.c
0x002b5714,88,extract_basepath,misc,TODO,,src/proprietary/misc/FUN_002b5714_extract_basepath.c
0x002d992d,86,uc_to_mb_write_replacement,misc,TODO,,
0x002da0c1,86,wc_to_mb_write_replacement,misc,TODO,,
0x0001f150,84,strtrimr,misc,TODO,,src/proprietary/misc/FUN_0001f150_strtrimr.c
0x002b55d0,84,rgb8888_to_rgb565,misc,TODO,,src/proprietary/misc/FUN_002b55d0_rgb8888_to_rgb565.c
0x0000a80c,80,ShareMemClose,flash,TODO,,src/proprietary/flash/FUN_0000a80c_ShareMemClose.c
0x0000cc04,80,SPI_Write,flash,TODO,,src/proprietary/flash/FUN_0000cc04_SPI_Write.c
0x0000d628,80,run_process.constprop.0,misc,TODO,,src/proprietary/misc/FUN_0000d628_run_process.constprop.0.c
0x0000da4c,80,video_driver_set_rotation,hw,TODO,,src/proprietary/hw/FUN_0000da4c_video_driver_set_rotation.c
0x002b4f48,80,joystick_input,input,TODO,,src/proprietary/input/FUN_002b4f48_joystick_input.c
0x002b87f4,80,MP3GetNextFrameInfo,misc,TODO,,src/proprietary/misc/FUN_002b87f4_MP3GetNextFrameInfo.c
